longitude,latitude,physical_location,postal_address,hours_of_operation,hiv_capable,details
7.34134,5.11445,,,,,View
7.35312,5.12019,,,,,View
7.34552002,5.115905762,,,,,View
7.340881347,5.113891602,,,,,View
7.337890625,5.107910156,,,,,View
7.34401745,5.1183694,,,,,View
7.358399034,5.118716955,74 okwu avenue off faul k  rd,,,,View
7.36078,5.12162,,,,,View
7.33015,5.07329,,,,,View
7.3741,5.0768,,ASAOKPUAJA COMMUNITY,,,View
7.348876953,5.107299805,Eze Asonyes palace,BEHIND ASONYES  PALACE,,,View
7.364501953,5.127929688,,ABA NORTH L G A,,,View
7.3702,5.1236,,INSIDE  RAILWAY LINE,,,View
7.38946,5.11821,,,,,View
7.392089844,5.11328125,,127b ik0t ekpene road ogbor hill,,,View
7.391296387,5.113708496,,,,,View
7.38187,5.12165,,no 56b umuola road ogbor hill,,,View
7.389892578,5.114318848,,,,,View
07.38119,05.12047,,no 50 umuoba road ogbor hjll,,,View
7.384094238,5.11730957,ogbor hill aba,,,,View
7.38138,5.12081,,,,,View
7.393676758,5.111694336,,no 1 emeuchy close azuka,,,View
7.387329102,5.113525391,,OGBOR HALL,,,View
7.36798,5.13511,,,,,View
7.23483,5.06762,,106 ikot ekpere road,,,View
7.354919433,5.124084473,,,,,View
7.362670899,5.117126465,,,,,View
7.33960,5.12943,,,,,View
7.358886719,5.120483398,,115 okigwe road aba,,,View
7.35503712,5.12619172,,,,,View
7.35807,5.12678,,26 brass road aba,,,View
7.35882,5.12063,,119 okigwe road aba,,,View
7.38188,5.12126,,,,,View
7.353271484,5.120300293,,,,,View
7.349304199,5.117492676,,,,,View
7.35785,5.11273,51 faulks Rd Aba,,,,View
7.37785,5.11273,,BEHIND B T C ABA,8 hours,,View
7.335791624,5.112703443,,,,,View
7.354919433,5.114685058,,,,,View
7.36777,5.07824,,,,,View
7.33007375,5.079940109,,okwuonu  compound,,,View
7.385681152,5.129272461,,no 36 glass industrial road aba,,,View
7.393750548,5.124102831,,45 new umuahia road ogbor hill aba,,,View
7.386108399,5.123474121,,,,,View
7.38171,5.12796,,,,,View
7.381714,5.124329,,,,,View
7.35815,5.12106,,,,,View
7.355282307,5.108132958,,,,,View
7.35308,5.12142,,,,,View
7.337118387,5.12876451,,,,,View
7.3341,5.1151,,behind custmory court uratta,,,View
7.379272461,5.10772705,,,,,View
7.38445,5.09876,,,,,View
7.37867,5.10131,,,,,View
7.3765,5.11226,,,,,View
7.37362,5.1147,,,,,View
7.37581,5.11095,,,,,View
7.37603,5.11244,,,,,View
7.3515,5.0633,,,,,View
7.368,5.1072,,,8hrs,,View
7.37411,5.11491,,,,,View
7.38298,5.07834,,,,,View
7.48654,5.38762,,,,,View
7.336914063,5.076293945,,,6hrs,,View
7.33807373,5.072082519,,,,,View
7.32586,5.06538,,,8hrs,,View
7.36380628,5.09619999,,,,,View
7.3609,5.09694,,,,,View
7.352905273,5.089477539,,,,,View
7.354492187,5.092285157,,,,,View
7.3629,5.0955,,,,,View
7.37335,5.1009,,,,,View
7.362121582,5.10772705,,,,,View
7.3462,5.0954,,,,,View
7.37411,5.07681,,,6hrs,,View
7.3523,5.1085,,,,,View
7.3619,5.1113,,,8,,View
7.366088868,5.096313476,,,,,View
7.37595,5.09966,,,8hrs,,View
7.36889648470,5.076904297,,,8hrs,,View
7.380126953,5.075317383,,,6hrs,,View
7.373901367,5.08227539,,,,,View
7.37124866,5.10274635,,,24 hrs,,View
7.37517,5.09852,,,,,View
7.37401,5.41111,,,8hrs,,View
7.3682,5.0893,,,,,View
7.37595,5.09966,,,8,,View
7.37633,5.09666,,,,,View
7.3312,5.0785,,,,,View
7.4321,5.1453,,,,,View
7.36345,5.10727,,,,,View
7.345,5.0537,,,,,View
7.377319336,5.079284668,,,,,View
7.36078,5.09222,,,,,View
7.328941434,5.099422918,,,,,View
7.33485681,5.07380088,,,,,View
7.37854,5.10332,,,,,View
7.37615698,5.11300491,,,,,View
7.333129883,5.089294433,,,,,View
7.355285645,5.108276367,,,,,View
7.3781,5.0876,,,,,View
7.355285645,5.108276367,,,,,View
7.3488,5.0878,,,,,View
7.334106445,5.065673828,,,,,View
7.33001,5.06925,,,,,View
7.3736254,5.11471185,,,,,View
7.30663,5.06274,,,,,View
7.35537741,5.07509296,,,,,View
7.377002835,5.113615394,,,,,View
7.37635,5.09663,,,,,View
7.37867,5.10131,,,,,View
7.348769903,5.087952018,,,,,View
7.36083,5.07743,,,,,View
7.352478028,5.078491211,,,,,View
7.330078125,5.080078125,,,,,View
7.326904297,5.086120605,,,,,View
7.360473633,5.111083984,,,,,View
7.375,5.1103,,,,,View
7.90031,5.38200,,,,,View
7.91229248,5.388305664,,,,,View
7.91326,5.38558,,,,,View
7.91192627,5.412292481,Ugwuakuma town hall,,,,View
7.88921,5.45759,,,,,View
7.88647461,5.393127441,Civic centre Arochukwu,,,,View
7.893127442,5.398071289,After Anglican church,,,,View
7.8725,5.41402,,,,,View
7.881896972,5.398681641,,,,,View
7.90446,5.39943,Nkanna Road Amuvi,,,,View
7.888671875,5.387878418,Obinkita hall,,,,View
7.899475098,5.379699707,,,,,View
7.89573,5.38189,,,,,View
7.74818086,5.53192353,Ndiagwu,,,,View
7.8947,5.3836,,,,,View
7.883117676,5.497314453,,,,,View
7.8739,5.4123,,,,,View
7.8978,5.4934,,,,,View
7.913696289,5.477111817,OKPO,,,,View
7.916320801,5.434692383,,,,,View
7.91841,5.43484,Nkpakpi,,,,View
7.77154,5.50333,,,,,View
7.773131,5.548532,ndiokorie,,,,View
7.877319336,5.457092285,,,,,View
7.885681152,5.481506348,Ikwun Ihe 1,,,,View
7.878723,5.471924,,,,,View
7.880676269,5.461304,obichie,,,,View
7.88137,5.44219,,,,,View
7.890319824,5.472290039,umuye,,,,View
7.88912,5.45777,,,,,View
7.95607,5.41588,,,,,View
7.950500488,5.419677734,0bieze,,,,View
7.703312791,5.542945786,,,,,View
7.74657,5.61622,,,,,View
7.73842866,5.56695424,ndiememe,,,,View
7.747680664,5.596130371,At the back of Ozuabam market,,,,View
7.74078,5.59414,Ozuabam,,,,View
7.676086426,5.594299316,,,,,View
7.71796,5.61625,ndiebe,,,,View
7.79702,5.48233,ndi okereke village square,,,,View
7.78599,5.5082,ndioji,,,,View
7.891113281,5.534729004,,,,,View
7.8819,5.3987,,,,,View
7.9143,5.4256,ABUMA,,,,View
7.900695801,5.4266,,,,,View
7.9159,5.4215,Obiene Ututu,,,,View
7.9218,5.4107,OBIENE,Obiene,,,View
7.909484863,5.442687988,Amasa,,,,View
7.909301758,5.431091309,ukwuakwu,,,,View
7.5952,5.7409,,,24hrs,,View
7.5948,5.7258,On the major road in Ezi Alayi beside the community Hall,,24hrs,,View
7.61845,5.72986,Umuenyere Alayi community,,24hrs,,View
7.6064,5.7088,Amankalu Alayi community,,24hrs,,View
7.6013644,5.72156813,Alayi community,,24hrs,,View
7.60323515,5.69546549,Isiaku community,,24hrs,,View
7.62348,5.55758,Agbamuzu community,,24hrs,,View
7.63633,5.56001,,,,,View
7.63450563,5.555514693,Amaogu community,,24hrs,,View
7.6445831,5.5375329,,,24hrs,,View
7.60157,5.50824,OKPOROENYI COMMUNITY,,24HOURS,,View
7.63777479,5.55836749,Inside the local Government council,,24hrs,,View
7.65624055,5.70991838,AT ONUIBINA,,24HOURS,,View
7.6448334,5.69316078,,,24hrs,,View
7.6459,5.6817,In the village close to the community Hall.,,24hrs,,View
7.669494629,5.703308105,,,24hrs,,View
7.665,5.7078,"In Amankalu community,Bende LGA",,24hrs,,View
7.5511877,5.70131415,In Umusi community,,24hrs,,View
7.7149,5.7855,Amaekpu community in Bende LGA,,24hrs,,View
7.7022,5.7609,Apanu community,,24hrs,,View
7.630493164,5.726074219,"close to Abia state NYSC Camp ,along the major road",,24hrs,,View
7.69589357,5.75879806,,,,,View
7.632185,5.73690418,,,24hrs,,View
7.6831,5.7929,,,24hrs,,View
7.6753,5.8193,INSIDE THE COMMUNTY OKAI,,24HOURS,,View
7.6655,5.7545,Located in Amaokwe community,,24hrs,,View
7.6684,5.7534,A little further after Amaokwe round about in Amaokwe community,,24hrs,,View
7.68548,5.50068,In Ndiwo community,,24hrs,,View
7.638362646,5.502857569,IN NTUBI COMMUNTY,,24HOURS,,View
7.685000156,5.48446537,In Okopedi community,,24hrs,,View
7.639961243,5.512368679,Ubibia community,,24hrs,,View
7.68497216,5.44737652,In Ntalakwu community,,24hrs,,View
7.50867,5.66363,Okpuhu Nkpa community,,24hrs,,View
